Team,Year,GP,OFFRTG,W,Min,PACE,Passes Made,passes_made_100,Ast,Ast p100,Secondary Ast,secondary_ast_100,Potential Ast,potential_ast_100,Ast Adj,Ast Adj p100,Ast to Pass %,Ast to Pass % Adj,Pts,Touches,touches_100,ToP,Avg Sec/Touch,avg_dribbles_touch_100,Dribbles,dribbles_100,Pts/Touch,Post Ups,post_ups_100,Pts/Post Touch,Drives,drives_100,FGA Drives,FTA Drives,PTS Drives,PASS Drives,PASS Drives p100,drives_pass_rate,AST,AST%,DIST. FEET,DIST. MILES,dist_miles_off,DIST. MILES OFF p100,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,play_style_clusters
Atlanta Hawks,2014-15,82,106.2,60,240.6,96.25,324.3,336.9,25.7,26.7,3.9,4.1,50.8,52.8,31.7,32.9,7.9,9.8,102.5,440.5,457.7,20.4,2.77,2.04,898.62,933.6,0.233,11.3,11.7,0.383,42,43.6,16.3,5.9,19.8,14.4,15,34.2,4.3,10.3,88833.3,16.82,8.9,9.2,7.93,4.21,4.52,3.91,Ball Movement
Boston Celtics,2014-15,82,101.7,40,242.4,98.4,304.9,309.9,24.5,24.9,2.7,2.7,51.3,52.1,29.6,30.1,8,9.7,101.4,425.7,432.6,20.1,2.84,2.14,910.998,925.8,0.238,10.4,10.6,0.519,32.7,33.2,14.2,4.8,16.4,9.8,10,30,3,9.1,89282.7,16.91,8.84,9,8.06,4.2,4.55,3.87,Ball Movement
Brooklyn Nets,2014-15,82,101.9,38,243.1,94.97,273,287.5,20.9,22,2.5,2.6,44.9,47.3,26.1,27.5,7.7,9.6,98,391.1,411.8,21.2,3.26,2.55,997.305,1050.1,0.251,15.3,16.1,0.508,38.5,40.5,15.5,4.5,18.1,13.3,14,34.5,4,10.3,88701.9,16.8,8.89,9.4,7.91,4.15,4.41,3.9,Moderate
Charlotte Hornets,2014-15,82,97.6,33,242.7,95.33,301.5,316.3,20.2,21.2,3.5,3.7,42.4,44.5,25.7,27,6.7,8.5,94.2,418.3,438.8,21.3,3.05,2.39,999.737,1048.7,0.225,17.4,18.3,0.507,34.4,36.1,15.6,5,17.5,10.4,10.9,30.3,3,8.7,89905,17.03,9.41,9.9,7.61,4.22,4.57,3.85,Isolation
Chicago Bulls,2014-15,82,104.7,50,242.4,95.35,304,318.8,21.7,22.8,3.2,3.4,46.1,48.3,27.6,28.9,7.1,9.1,100.8,423.2,443.8,21.3,3.02,2.28,964.896,1012,0.238,17.9,18.8,0.476,35.7,37.4,15.4,5.8,19.2,11.1,11.6,31.1,3.1,8.8,89502.6,16.95,9.22,9.7,7.73,4.21,4.51,3.9,Moderate
Cleveland Cavaliers,2014-15,82,107.7,53,241.2,94.78,289.4,305.3,22.2,23.4,3.2,3.4,42.8,45.2,27.7,29.2,7.7,9.6,103.3,407.3,429.7,21.3,3.14,2.36,961.228,1014.2,0.254,12.7,13.4,0.549,35.2,37.1,14.8,5.2,17.5,11,11.6,31.2,3.6,10.3,86807.2,16.44,8.82,9.3,7.62,4.09,4.3,3.88,Moderate
Dallas Mavericks,2014-15,82,107.2,50,242.4,97.43,307.3,315.4,22.5,23.1,3,3.1,47.1,48.3,28.1,28.8,7.3,9.1,105.2,429.6,440.9,20.5,2.86,2.14,919.344,943.6,0.245,9.3,9.5,0.576,42.7,43.8,17.6,5.1,20.1,14.2,14.6,33.2,4.4,10.4,88578.2,16.78,8.79,9,7.98,4.15,4.44,3.88,Moderate
Denver Nuggets,2014-15,82,101.6,30,242.4,98.67,264.1,267.7,21.8,22.1,2.6,2.6,48.7,49.4,27.3,27.7,8.3,10.3,101.5,386.6,391.8,20.6,3.19,2.48,958.768,971.7,0.262,11.7,11.9,0.509,41.7,42.3,15,5.1,17.5,15.7,15.9,37.6,4.5,10.8,88555.6,16.77,8.74,8.9,8.03,4.16,4.46,3.87,Moderate
Detroit Pistons,2014-15,82,102.3,32,241.8,95.18,272.3,286.1,21.6,22.7,2.6,2.7,44.7,47,26.6,27.9,7.9,9.8,98.5,392.2,412.1,21.2,3.25,2.64,1035.408,1087.8,0.251,17.1,18,0.519,35.4,37.2,15.4,4.6,16.6,10.8,11.3,30.5,3.6,10.3,90083.1,17.06,9.28,9.7,7.78,4.24,4.55,3.92,Moderate
Golden State Warriors,2014-15,82,109.7,67,240.6,100.69,306.6,304.5,27.4,27.2,3.4,3.4,50.4,50.1,33.1,32.9,8.9,10.8,110,442,439,19.7,2.67,1.84,813.28,807.7,0.249,13.2,13.1,0.386,28,27.8,12.8,4,15,7.5,7.4,27,2.9,10.5,90065.3,17.06,8.9,8.8,8.16,4.19,4.71,3.75,Ball Movement
Houston Rockets,2014-15,82,104.2,56,241.5,99.25,299.1,301.4,22.2,22.4,3,3,47.9,48.3,27.5,27.7,7.4,9.2,103.8,421.6,424.8,20.4,2.91,2.13,898.008,904.8,0.246,15.6,15.7,0.506,37.4,37.7,13.2,6.1,16.6,13.5,13.6,36.1,4.1,11,88343.1,16.73,8.8,8.9,7.93,4.16,4.44,3.89,Moderate
Indiana Pacers,2014-15,82,100.8,38,242.1,95.5,311.1,325.8,21.4,22.4,3.6,3.8,48.1,50.4,26.9,28.2,6.9,8.7,97.3,430.2,450.5,22,3.06,2.25,967.95,1013.6,0.226,19.3,20.2,0.479,28.9,30.3,12.6,3.8,13.8,9.4,9.8,32.5,2.7,9.2,87239.6,16.52,8.97,9.4,7.55,4.11,4.31,3.89,Moderate
Los Angeles Clippers,2014-15,82,109.8,56,240.6,96.96,294,303.2,24.8,25.6,4.1,4.2,48.2,49.7,31.3,32.3,8.4,10.6,106.7,411.6,424.5,20.4,2.98,2.21,909.636,938.2,0.259,13.6,14,0.446,27.2,28.1,11.6,3.4,13.4,8.9,9.2,32.8,2.8,10.4,86843.2,16.45,8.54,8.8,7.91,4.11,4.38,3.85,Ball Movement
