Team,Year,GP,OFFRTG,W,Min,PACE,Passes Made,passes_made_100,Ast,Ast p100,Secondary Ast,secondary_ast_100,Potential Ast,potential_ast_100,Ast Adj,Ast Adj p100,Ast to Pass %,Ast to Pass % Adj,Pts,Touches,touches_100,ToP,Avg Sec/Touch,avg_dribbles_touch_100,Dribbles,dribbles_100,Pts/Touch,Post Ups,post_ups_100,Pts/Post Touch,Drives,drives_100,FGA Drives,FTA Drives,PTS Drives,PASS Drives,PASS Drives p100,drives_pass_rate,AST,AST%,DIST. FEET,DIST. MILES,dist_miles_off,DIST. MILES OFF p100,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,play_style_clusters
Atlanta Hawks,2013-14,82,103.4,38,241.9,96.87,320.2,330.5,24.9,25.7,3.1,3.2,50.5,52.1,30.3,31.3,7.8,9.5,103.9,452.6,467.2,20.8,2.76,1.91,864.466,892.4,0.23,2.1,2.2,0.49,38.6,39.8,15,4.7,16.5,14.1,14.6,36.4,3.8,9.8,89044,16.86,8.99,9.3,7.88,4.2,4.55,3.85,Ball Movement
Boston Celtics,2013-14,82,99.7,25,240.6,95.88,297.9,310.7,21,21.9,2.4,2.5,45.6,47.6,25.6,26.7,7.1,8.6,104.6,420.1,438.2,21.1,3.02,2.21,928.421,968.3,0.249,12.5,13,0.497,30.4,31.7,12,4.5,13.8,10.2,10.6,33.6,3,9.7,87785.7,16.63,8.92,9.3,7.71,4.15,4.41,3.89,Moderate
Brooklyn Nets,2013-14,82,104.4,44,242.5,93.68,292.6,312.3,20.7,22.1,2.6,2.8,44.1,47.1,25.7,27.4,7.1,8.8,106.2,448.4,478.7,21.3,2.85,2.01,901.284,962.1,0.237,7.2,7.7,0.513,36.5,39,14.4,6.6,18.2,11.7,12.5,31.9,3.3,9.1,86459.3,16.37,8.69,9.3,7.69,4.07,4.29,3.85,Moderate
Charlotte Bobcats,2013-14,82,101.2,43,242.8,94.73,322,339.9,21.8,23,3.1,3.3,45.6,48.1,27.3,28.8,6.8,8.5,107.3,405.3,427.8,20.9,3.09,2.35,952.455,1005.4,0.265,13.3,14,0.56,34.9,36.8,14,6.1,16.7,11.9,12.6,34.1,3.1,8.9,90814.4,17.2,9.51,10,7.69,4.26,4.61,3.89,Moderate
Chicago Bulls,2013-14,82,99.7,48,243.1,92.72,317.8,342.8,22.7,24.5,3.2,3.5,50.3,54.2,28.7,31,7.1,9,103.6,419.6,452.5,19.9,2.85,2.13,893.748,963.9,0.247,11.3,12.2,0.514,26.8,28.9,10.7,3.9,11.5,8.9,9.6,33.4,2.7,10.2,89784.2,17,9.33,10.1,7.67,4.21,4.47,3.93,Ball Movement
Cleveland Cavaliers,2013-14,82,101.3,33,243.1,95.68,296.9,310.3,21.2,22.2,2.3,2.4,43.6,45.6,25.9,27.1,7.1,8.7,110.2,394.9,412.7,20.4,3.09,2.2,868.78,908,0.279,11.8,12.3,0.492,37.5,39.2,16.1,4.6,18.4,12,12.5,32.1,3.4,9.1,91866.1,17.4,9.29,9.7,8.11,4.31,4.63,3.98,Moderate
Dallas Mavericks,2013-14,82,109,49,241.8,95.74,309.6,323.4,23.6,24.7,3.6,3.8,48.3,50.4,29.4,30.7,7.6,9.5,102.4,421.4,440.2,21.9,3.12,2.43,1024.002,1069.6,0.243,11.3,11.8,0.487,32.7,34.2,12.9,4.7,15.6,10,10.4,30.7,4.5,13.7,88087.6,16.68,8.93,9.3,7.76,4.15,4.41,3.89,Ball Movement
Denver Nuggets,2013-14,82,103.3,36,240.9,100.68,262.4,260.6,22.4,22.2,2.6,2.6,48.3,48,27.9,27.7,8.5,10.6,108.9,419.4,416.6,20.6,2.95,2.12,889.128,883.1,0.26,13.4,13.3,0.474,39.1,38.8,15.3,6.1,18,13.6,13.5,34.6,3.8,9.8,89964.5,17.04,8.89,8.8,8.15,4.25,4.61,3.92,Moderate
Detroit Pistons,2013-14,82,102.9,29,241.2,97.39,259.1,266,20.9,21.5,2.3,2.4,43.8,45,26,26.7,8.1,10,102.9,424.4,435.8,20.8,2.94,2.19,929.436,954.3,0.242,7.9,8.1,0.54,33.4,34.3,15.5,5.5,17.9,9.3,9.5,27.8,3.1,9.3,87577.9,16.59,8.69,8.9,7.89,4.13,4.34,3.93,Moderate
Golden State Warriors,2013-14,82,105.3,51,241.9,98.53,243.8,247.4,23.3,23.6,2.8,2.8,44.7,45.4,28.3,28.7,9.6,11.6,115.7,440.9,447.5,19.3,2.63,1.79,789.211,801,0.262,16.9,17.2,0.356,28.3,28.7,11.9,4.2,13.7,8.3,8.4,29.2,3.1,11,88895.6,16.84,8.77,8.9,8.07,4.2,4.56,3.87,Moderate
Houston Rockets,2013-14,82,108.6,54,241.8,98.81,293.4,296.9,21.4,21.7,2.6,2.6,42.9,43.4,26.6,26.9,7.3,9.1,113.5,374.9,379.4,20.7,3.31,2.54,952.246,963.7,0.303,4.7,4.8,0.498,41.9,42.4,16.6,6.9,20.8,13.9,14.1,33.2,3.9,9.3,88780.1,16.81,8.81,8.9,8,4.18,4.5,3.88,Isolation
Indiana Pacers,2013-14,82,101.5,56,241.2,94.9,299.5,315.6,20.1,21.2,2.5,2.6,43.9,46.3,24.7,26,6.7,8.3,105.8,415.8,438.1,20.7,2.98,2.31,960.498,1012.1,0.255,10.1,10.6,0.582,28.2,29.7,12.4,4.4,15.5,8.4,8.9,29.7,2.6,9.2,86145.7,16.32,8.73,9.2,7.59,4.07,4.25,3.87,Moderate
Los Angeles Clippers,2013-14,82,109.4,57,240.9,98.39,304.5,309.5,24.6,25,4,4.1,49.2,50,31.4,31.9,8.1,10.3,109.2,421.9,428.8,20.6,2.92,2.14,902.866,917.6,0.259,9.6,9.8,0.498,27.9,28.4,11.3,4.1,14.1,9.4,9.6,33.6,2.9,10.5,88236.2,16.71,8.61,8.8,8.11,4.17,4.48,3.88,Ball Movement
Los Angeles Lakers,2013-14,82,101.9,27,240.3,100.98,306.4,303.4,24.5,24.3,3.2,3.2,50.1,49.6,30.1,29.8,8,9.8,108.7,406.1,402.2,19.9,2.94,2.06,836.566,828.4,0.268,12.5,12.4,0.456,32.9,32.6,12.4,4.3,13.8,11.3,11.2,34.5,3.6,11.1,90331.3,17.11,8.91,8.8,8.2,4.28,4.61,3.97,Ball Movement
Memphis Grizzlies,2013-14,82,103.3,50,241.5,92.25,308,333.9,21.9,23.7,3.8,4.1,46.6,50.5,28.1,30.5,7.1,9.1,98.7,440.9,477.9,21.5,2.93,2.06,908.254,984.6,0.224,13.4,14.5,0.438,30.3,32.8,11.9,4.1,13.9,10.8,11.7,35.6,2.6,8.5,88247.3,16.71,9.09,9.9,7.63,4.16,4.36,3.95,Ball Movement
Miami Heat,2013-14,82,109,54,242.4,93.26,292.4,313.5,22.5,24.1,4,4.3,45.7,49,28.9,31,7.7,9.9,102.6,423.6,454.2,21.9,3.1,2.31,978.516,1049.2,0.242,9.9,10.6,0.398,38.9,41.7,14.2,5.5,19.3,14,15,35.9,3.9,10.1,87617.4,16.59,8.6,9.2,8,4.11,4.3,3.93,Ball Movement
Milwaukee Bucks,2013-14,82,100.2,15,242.5,94.28,320.1,339.5,21.4,22.7,2.8,3,45.9,48.7,26.9,28.5,6.7,8.4,105.2,399.2,423.4,20.1,3.01,2.25,898.2,952.7,0.264,7.4,7.8,0.501,33.8,35.9,14.2,5.1,15.7,11,11.7,32.7,2.8,8.4,88971.8,16.85,9.14,9.7,7.71,4.17,4.49,3.85,Moderate
Minnesota Timberwolves,2013-14,82,105.6,40,242.1,99.82,303.4,303.9,23.9,23.9,3,3,52.5,52.6,30.4,30.5,7.9,10,109.7,406.6,407.3,21.8,3.22,2.39,971.774,973.5,0.27,15.1,15.1,0.636,32.2,32.3,12.6,4.9,14.3,10.9,10.9,33.9,3.2,10.1,88697.7,16.8,8.97,9,7.83,4.18,4.43,3.93,Ball Movement
New Orleans Pelicans,2013-14,82,104.7,34,242.1,94.51,271.4,287.2,21.3,22.5,1.5,1.6,42.6,45.1,25.5,27,7.8,9.4,111.9,440.3,465.9,20.2,2.75,1.96,862.988,913.1,0.254,13.2,14,0.525,42,44.4,20.1,6.4,22.4,11,11.6,26.2,3.9,9.4,90052.9,17.06,9.3,9.8,7.76,4.24,4.58,3.89,Moderate
New York Knicks,2013-14,82,105.4,37,242.1,92.59,279.9,302.3,20,21.6,2.5,2.7,44.2,47.7,24.3,26.2,7.2,8.7,103.9,440.8,476.1,21.2,2.88,2,881.6,952.2,0.236,17.3,18.7,0.564,28.1,30.3,11.1,4.5,13.7,9.1,9.8,32.2,3,10.5,85713.2,16.23,8.55,9.2,7.69,4.03,4.15,3.91,Moderate
Oklahoma City Thunder,2013-14,82,108.1,59,241.5,97.91,262.3,267.9,21.9,22.4,2.2,2.2,43.9,44.8,26.3,26.9,8.3,10,107.2,377.5,385.6,20.3,3.23,2.49,939.975,960,0.284,8.6,8.8,0.608,31.8,32.5,14.5,5.7,18.8,8.4,8.6,26.5,3,9.4,88077.7,16.68,8.69,8.9,7.99,4.15,4.46,3.86,Isolation
Orlando Magic,2013-14,82,99.3,23,243.4,95.87,286.2,298.5,21,21.9,2.8,2.9,46.4,48.4,26,27.1,7.4,9.1,105,409.3,426.9,20.7,3.03,2.34,957.762,999,0.256,9.6,10,0.426,33.4,34.8,13.5,5.1,15.8,10.9,11.4,32.7,3,8.9,89344,16.92,9.08,9.5,7.84,4.18,4.44,3.92,Moderate
Philadelphia 76ers,2013-14,82,96.8,19,242.1,101.62,301.4,296.6,21.8,21.5,2.7,2.7,46.8,46.1,27,26.6,7.2,8.9,108,471.2,463.7,20.4,2.6,1.71,805.752,792.9,0.229,18.9,18.6,0.529,42.6,41.9,20,6.9,21.9,11.7,11.5,27.5,3.1,7.2,93462.7,17.7,9.14,9,8.56,4.4,4.78,4.05,Moderate
Phoenix Suns,2013-14,82,107.1,48,240.9,98.16,277.9,283.1,19.1,19.5,2.1,2.1,42.1,42.9,23.1,23.5,6.9,8.3,104.3,416.1,423.9,20.6,2.97,2.25,936.225,953.8,0.251,9.5,9.7,0.409,36.1,36.8,14.7,5.1,17.6,12.3,12.5,34.1,3.3,9.2,88337.9,16.73,8.82,9,7.91,4.18,4.45,3.91,Isolation
Portland Trail Blazers,2013-14,82,108.3,54,242.1,97.48,295.5,303.1,23.2,23.8,3.5,3.6,48.3,49.5,29,29.7,7.9,9.8,105.9,390.6,400.7,22.2,3.41,2.62,1023.372,1049.8,0.271,9.3,9.5,0.483,27.8,28.5,11.5,4.7,14,8.5,8.7,30.8,2.9,10.5,90959.6,17.23,9.33,9.6,7.9,4.28,4.58,3.97,Moderate
Sacramento Kings,2013-14,82,102.9,28,241.9,96.75,267,276,18.8,19.4,1.6,1.7,40.6,42,22.7,23.5,7.1,8.5,99.6,435.4,450,21.3,2.93,2.06,896.924,927.1,0.229,16.5,17.1,0.492,33.1,34.2,15.3,5.3,18.3,9.3,9.6,28,2.6,7.7,88988.5,16.85,9.07,9.4,7.78,4.21,4.42,3.99,Isolation
San Antonio Spurs,2013-14,82,108.2,62,240.9,97.07,330.7,340.7,25.2,26,4.2,4.3,48.8,50.3,31.8,32.8,7.6,9.6,102.2,430.4,443.4,21.2,2.96,2.25,968.4,997.6,0.237,19,19.6,0.558,35.7,36.8,13.7,3.9,16.8,12.8,13.2,35.9,3.8,10.8,93802.3,17.77,9.67,10,8.09,4.43,4.85,4.01,Ball Movement
Toronto Raptors,2013-14,82,105.8,48,243.4,94.42,296.9,314.4,21.2,22.5,2.9,3.1,44.3,46.9,26.4,28,7.1,8.9,112.2,420.7,445.6,21,3,2.25,946.575,1002.5,0.267,5.5,5.8,0.651,38.1,40.4,15,5.4,17.7,13,13.8,33.9,3.9,10.2,88857.2,16.83,9.12,9.7,7.71,4.16,4.38,3.93,Moderate
Utah Jazz,2013-14,82,100.6,25,241.2,93.57,319.5,341.5,20.3,21.7,2.6,2.8,46.8,50,25.3,27,6.4,7.9,103.1,440.7,471,21.6,2.94,2.22,978.354,1045.6,0.234,4,4.3,0.323,33.2,35.5,13.1,4.3,14.8,11.4,12.2,34.3,3.2,9.6,89603.7,16.97,9.33,10,7.64,4.23,4.45,3.99,Moderate
Washington Wizards,2013-14,82,103.3,44,244.6,95.45,315.2,330.2,23.4,24.5,3.2,3.4,48.1,50.4,29.1,30.5,7.4,9.2,107.5,411.8,431.4,21.3,3.1,2.33,959.494,1005.2,0.261,8,8.4,0.59,27.4,28.7,9.8,4.1,11.6,9.7,10.2,35.4,2.8,10.2,89826.6,17.01,8.94,9.4,8.07,4.18,4.44,3.93,Ball Movement
